# October mean Total Ozone (DU):
# Antarctic Satellite Data:
#   year,    ozone, instrument
    1979,      245, TOMS
    1980,      217, TOMS
    1981,      221, TOMS
    1982,      203, TOMS
    1983,      177, TOMS
    1984,      179, TOMS
    1985,      151, TOMS
    1986,      175, TOMS
    1987,      131, TOMS
    1988,      201, TOMS
    1989,      144, TOMS
    1990,      139, TOMS
    1991,      143, TOMS
    1992,      134, TOMS
    1993,      125, TOMS
    1994,      116, TOMS
    1996,      124, TOMS
    1997,      125, TOMS
    1998,      118, TOMS
    1999,      118, TOMS
    2000,      132, TOMS
    2001,      123, TOMS
    2002,      198, TOMS
    2003,      134, TOMS
    2004,      159, TOMS
    2005,      138, OMI
    2006,      108, OMI
    2007,      137, OMI
    2008,      132, OMI
    2009,      128, OMI
    2010,      141, OMI
    2011,      118, OMI
    2012,      167, OMI
    2013,      168, OMI
    2014,      139, OMI
    2015,      117, OMI
    2016,      144, OMPS
    2017,      159, OMPS
    2018,      116, OMPS
    2019,      189, OMPS
    2020,      109, OMPS
    2021,      110, OMPS
    2022,      115, OMPS
#
# Halley Bay Ground-basd data from J. D. Shanklin, British Antarctic Survey
# https://legacy.bas.ac.uk/met/jds/ozone/
#       year,     ozone
        1957,      322
        1958,      306
        1959,      303
        1960,      293
        1961,      309
        1962,      323
        1963,      301
        1964,      310
        1965,      274
        1966,      308
        1967,      315
        1968,      293
        1969,      275
        1970,      275
        1971,      291
        1972,      296
        1973,      271
        1974,      272
        1975,      303
        1976,      283
        1977,      251
        1978,      284
        1979,      263
        1980,      226
        1981,      237
        1982,      218
        1983,      195
        1984,      194
        1985,      185
        1986,      233
        1987,      150
        1988,      216
        1989,      150
        1990,      173
        1991,      137
        1992,      147
        1993,      122
        1994,      126
        1995,      130
        1996,      148
        1997,      141
        1998,      140
        1999,      143
        2000,      137
        2001,      138
        2002,      224
        2003,      158
        2004,      191
        2005,      155
        2006,      137
        2007,      159
        2008,      145
        2009,      165
        2010,      184
        2011,      140
        2012,      179
        2013,      177
        2014,      148
        2015,      139
        2016,      155
        2019,      208
        2020,      150
